old_filename;new_filename
Adalbert_Stifter_-_Der_beschriebene_Taennling_(1846).xml;1846_Stifter_Der-beschriebene-Taennling.xml
Adolf_Pichler_-_Ein_Brautpaar_(1867).xml;1867_Pichler_Ein-Brautpaar.xml
Agnes_Guenther_-_Die_Heilige_und_ihr_Narr_-_Band_2_(1913).xml;1913_Guenther_Die-Heilige-und.xml
Alois_Theodor_Sonnleitner_-_Die_Hohlenkinder__Im_Heimlichen_Grund_(1918).xml;1918_Sonnleitner_Die-Hoehlenkinder-Im.xml
Alois_Theodor_Sonnleitner_-_Die_Hohlenkinder__Im_Steinhaus_(1920).xml;1920_Sonnleitner_Die-Hoehlenkinder-Im.xml
August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856).xml;1856_Kopisch_Ein-Carnevalsfest-auf.xml
Berthold_Auerbach_-_Auf_der_Hoehe_Dritter_Band_(1865).xml;1865_Auerbach_Auf-der-Hoehe.xml
Charles_Sealsfield_-_In_der_Praerie_verirrt_(1841).xml;1841_Sealsfield_In-der-Praerie.xml
Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817).xml;1817_von-Schmid_Wie-Heinrich-von.xml
Clemens_Brentano_-_Aus_der_Chronika_eines_fahrenden_Schuelers_(Zweite_Fassung)_(1818).xml;1818_Brentano_Aus-der-Chronika.xml
Clemens_Brentano_-_Die_mehreren_Wehmueller_und_ungarischen_Nationalgesichter_(1817).xml;1817_Brentano_Die-mehreren-Wehmueller.xml
Curt_Grottewitz_-_Sonntage_eines_Grossstaedters_in_der_Natur_(1906).xml;1906_Grottewitz_Sonntage-eines-Grossstaedters.xml
David_Friedrich_Weinland_-_Rulaman_(1878).xml;1878_Weinland_Rulaman.xml
ETA_Hoffmann_-_Die_Irrungen_-_Verloren_und_Gefunden_(1820).xml;1820_Hoffmann_Die-Irrungen-Verloren.xml
Eduard_von_Keyserling_-_Seine_Liebeserfahrung_(1906).xml;1906_von-Keyserling_Seine-Liebeserfahrung.xml
Ferdinand_von_Saar_-_Innocens_(1866).xml;1866_von-Saar_Innocens.xml
Franz_Kafka_-_Auf_der_Galerie_(1916).xml;1916_Kafka_Auf-der-Galerie.xml
Franz_Kafka_-_Der_Geier_(1916).xml;1916_Kafka_Der-Geier.xml
Franz_Kafka_-_Prometheus_(1918).xml;1918_Kafka_Prometheus.xml
Franz_Kafka_-_Schakale_und_Araber_(1916).xml;1916_Kafka_Schakale-und-Araber.xml
Friedrich_Gerstaecker_-_Der_Fischfang_am_Mississippi_(1847).xml;1847_Gerstaecker_Der-Fischfang-am.xml
Friedrich_Gerstaecker_-_Die_Nacht_auf_dem_Walfisch_(1858).xml;1858_Gerstaecker_Die-Nacht-auf.xml
Friedrich_Gerstaecker_-_Die_Regulatoren_in_Arkansas_(1845).xml;1845_Gerstaecker_Die-Regulatoren-in.xml
Friedrich_Gerstaecker_-_John_Wells_(1859).xml;1859_Gerstaecker_John-Wells.xml
Gottfried_August_Buerger_-_Muenchhausen_(1786).xml;1786_Buerger_Muenchhausen.xml
Gottfried_Keller_-_Die_drei_gerechten_Kammacher_(1856).xml;1856_Keller_Die-drei-gerechten.xml
Gottfried_Keller_-_Spiegel,_das_Kaetzchen_(1856).xml;1856_Keller_Spiegel.xml
Gustav_Sack_-_Ein_verbummelter_Student_(1917).xml;1917_Sack_Ein-verbummelter-Student.xml
Heinrich_Heine_-_Schnabelewopski_(1834).xml;1834_Heine_Schnabelewopski.xml
Heinrich_Laube_-_Johanna_(1837).xml;1837_Laube_Johanna.xml
Heinrich_Seidel_-_Der_Rosenkoenig_(1899).xml;1899_Seidel_Der-Rosenkoenig.xml
Heinrich_Seidel_-_Ein_Skizzenbuch_(1878).xml;1878_Seidel_Ein-Skizzenbuch.xml
Heinrich_Seidel_-_Fliegender_Sommer_(1873).xml;1873_Seidel_Fliegender-Sommer.xml
Hermann_Loens_-_Aus_Forst_und_Flur._Vierzig_Tiernovellen_(1914).xml;1914_Loens_Aus-Forst-und.xml
Hermann_Loens_-_Der_zweckmaessige_Meyer_und_andere_Geschichten_(1911).xml;1911_Loens_Der-zweckmaessige-Meyer.xml
Hermann_Loens_-_Heimatliche_Naturbilder_-_Da_draussen_vor_dem_Tore_(1911).xml;1911_Loens_Heimatliche-Naturbilder-Da.xml
Hermann_Loens_-_Jagdgeschichten_(1914).xml;1914_Loens_Jagdgeschichten.xml
Hermann_Loens_-_Kraut_und_Lot_(1911).xml;1911_Loens_Kraut-und-Lot.xml
Hermann_Loens_-_Mein_braunes_Buch_(1907).xml;1907_Loens_Mein-braunes-Buch.xml
Hermann_Loens_-_Mein_buntes_Buch_(1913).xml;1913_Loens_Mein-buntes-Buch.xml
Hermann_Loens_-_Mein_gruenes_Buch_(1901).xml;1901_Loens_Mein-gruenes-Buch.xml
Hermann_Loens_-_Tiergeschichten_(1909).xml;1909_Loens_Tiergeschichten.xml
Jakob_Michael_Reinhold_Lenz_-_Empfindsamster_aller_Romane_(1781).xml;1781_Lenz_Empfindsamster-aller-Romane.xml
Jean_Paul_-_Schulmeisterlein_Wutz_(1790).xml;1790_Paul_Schulmeisterlein-Wutz.xml
Jean_Qui_Rit_-_Scharfe_Geschichten_(1908).xml;1908_Qui-Rit_Scharfe-Geschichten.xml
Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter_(1853).xml;1853_Gotthelf_Der-Oberamtmann-und.xml
Jeremias_Gotthelf_-_Die_schwarze_Spinne_(1842).xml;1842_Gotthelf_Die-schwarze-Spinne.xml
Jeremias_Gotthelf_-_Kurt_von_Koppigen_(1844).xml;1844_Gotthelf_Kurt-von-Koppigen.xml
Johann_David_Wyss_-_Der_schweizerische_Robinson_(1812).xml;1812_Wyss_Der-schweizerische-Robinson.xml
Johanna_Spyri_-_Beim_Weiden-Joseph_(1882).xml;1882_Spyri_Beim-Weiden-Joseph.xml
Joseph_von_Eichendorff_-_Das_Marmorbild_(1819).xml;1819_von-Eichendorff_Das-Marmorbild.xml
Joseph_von_Eichendorff_-_Die_Gluecksritter_(1841).xml;1841_von-Eichendorff_Die-Gluecksritter.xml
Joseph_von_Eichendorff_-_Libertas_und_ihre_Freier_(1848).xml;1848_von-Eichendorff_Libertas-und-ihre.xml
Karl_Philipp_Moritz_-_Fragmente_aus_dem_Tagebuche_eines_Geistersehers_(1787).xml;1787_Moritz_Fragmente-aus-dem.xml
Klabund_-_Franziskus_(1921).xml;1921_Klabund_Franziskus.xml
Klabund_-_Hieronymus_(1928).xml;1928_Klabund_Hieronymus.xml
Klabund_-_Mohammed_(1917).xml;1917_Klabund_Mohammed.xml
Klabund_-_Moreau_(1915).xml;1915_Klabund_Moreau.xml
Kurd_Lasswitz_-_Homchen_(1902).xml;1902_Lasswitz_Homchen.xml
Leopold_von_Sacher-Masoch_-_Der_Capitulant_(1875).xml;1875_von-Sacher-Masoch_Der-Capitulant.xml
Leopold_von_Sacher-Masoch_-_Don_Juan_von_Kolomea_(1875).xml;1875_von-Sacher-Masoch_Don-Juan-von.xml
Ludwig_Aurbacher_-_Erzaehlungen,_Lieder_und_Sprueche_aus_dem_Allerley_(1847).xml;1847_Aurbacher_Erzaehlungen.xml
Ludwig_Bechstein_-_In_optima_forma_(1854).xml;1854_Bechstein_In-optima-forma.xml
Ludwig_Tieck_-_Die_schoene_Magelone_(1812).xml;1812_Tieck_Die-schoene-Magelone.xml
Manfred_Kyber_-_Balduin_Brummsel_und_andere_Tiergeschichten_(1933).xml;1933_Kyber_Balduin-Brummsel-und.xml
Marie_von_Ebner-Eschenbach_-_Krambambuli_(1884).xml;1884_von-Ebner-Eschenbach_Krambambuli.xml
Matthias_Blank_-_Der_Mord_im_Ballsaal_(1909).xml;1909_Blank_Der-Mord-im.xml
Max_Dauthendey_-_Der_Knabe_auf_dem_Kopf_des_Elephanten_(1909).xml;1909_Dauthendey_Der-Knabe-auf.xml
Max_Dauthendey_-_Die_Abendglocken_vom_Mijderatempel_hoeren_(1909).xml;1909_Dauthendey_Die-Abendglocken-vom.xml
Max_Dauthendey_-_Die_acht_Gesichter_am_Biwasee_(1911).xml;1911_Dauthendey_Die-acht-Gesichter.xml
Oskar_Panizza_-_Aus_dem_Tagebuch_eines_Hundes_(1892).xml;1892_Panizza_Aus-dem-Tagebuch.xml
Otto_Julius_Bierbaum_-_Im_Kahne_(1895).xml;1895_Bierbaum_Im-Kahne.xml
Paul_Ernst_-_Komoedianten-_und_Spitzbubengeschichten_(1920).xml;1920_Ernst_Komoedianten-und-Spitzbubengeschichten.xml
Paul_Heyse_-_Das_Glueck_von_Rothenburg_(1881).xml;1881_Heyse_Das-Glueck-von.xml
Peter_Rosegger_-_Jakob_der_Letzte_(1889).xml;1889_Rosegger_Jakob-der-Letzte.xml
Salomon_Gessner_-_Daphnis_(1754).xml;1754_Gessner_Daphnis.xml
Salomon_Gessner_-_Idas_und_Mycon_(1777).xml;1777_Gessner_Idas-und-Mycon.xml
Sophie_Woerishoeffer_-_Das_Naturforscherschiff_(1880).xml;1880_Woerishoeffer_Das-Naturforscherschiff.xml
Theodor_Storm_-_Von_Kindern_und_Katzen_und_wie_sie_die_Nine_begruben_(1876).xml;1876_Storm_Von-Kindern-und.xml
Wilhelm_Heinrich_Riehl_-_Der_stumme_Ratsherr_(1895).xml;1895_Riehl_Der-stumme-Ratsherr.xml
Wilhelm_Jensen_-_Karin_von_Schweden_(1872).xml;1872_Jensen_Karin-von-Schweden.xml
Wilhelm_Raabe_-_Im_Siegeskranze_(1866).xml;1866_Raabe_Im-Siegeskranze.xml
Anklam_Louise_Kindergeschichten_Der_wilde_Arno.xml;1898_Anklam_Der-wilde-Arno.xml
Bernhard_Marie_Heimatluft.xml;1905_Bernhard_Heimatluft.xml
